,PC1,PC2
app_id,-0.2797689367336786,0.3632686352998026
price_final,0.18111135992794947,0.5482461856863777
price_initial,0.19560920775912288,0.5216821473395702
release_year,-0.19860437501587055,0.44805931611483424
positive,0.40681402210332257,-0.030852359315125383
review_score,0.3821642467609534,-0.010817165183385059
negative,0.3743621274690038,-0.0917819240525312
total,0.4301094091841596,-0.0474199127200426
concurrent_users_yesterday,0.2949237942705472,0.24465410890023834
owners_average,0.2942946105999197,-0.023228412576319794
price_difference,0.030720167954458113,-0.14971961755888855
